y,z,b
-37.731,-106.543,-105482
-37.759,-106.925,-105484
-37.787,-107.408,-105486
-37.815,-108.008,-105488
-37.842,-108.713,-105490
-37.87,-109.52,-105492
-37.898,-110.418,-105494
-37.926,-111.402,-105496
-37.953,-112.515,-105498
-37.981,-113.714,-105500
-38.009,-114.971,-105502
-38.037,-116.393,-105504
-38.065,-117.989,-105506
-38.092,-119.732,-105508
-38.12,-121.536,-105510
-38.148,-123.502,-105512
-38.176,-125.624,-105514
-38.203,-127.779,-105516
-38.231,-130.017,-105518
-38.259,-132.326,-105520
-38.287,-134.643,-105522
-38.315,-136.936,-105524
-38.342,-139.179,-105526
-38.37,-141.312,-105528
-38.398,-143.291,-105530
-38.426,-145.103,-105532
-38.453,-146.753,-105534
-38.481,-148.233,-105536
-38.509,-149.516,-105538
-38.537,-150.536,-105540
-38.565,-151.215,-105542
-38.592,-151.67,-105544
-38.62,-151.933,-105546
-38.648,-151.987,-105548
-38.676,-151.894,-105550
-38.703,-151.641,-105552
-38.731,-151.151,-105554
-38.759,-150.484,-105556
-38.787,-149.669,-105558
-38.815,-148.732,-105560
-38.842,-147.688,-105562
-38.87,-146.58,-105564
-38.898,-145.599,-105566
-38.926,-144.808,-105568
-38.953,-144.146,-105570
-38.981,-143.508,-105572
-39.009,-142.742,-105574
-39.037,-141.845,-105576
-39.065,-141.032,-105578
-39.092,-140.326,-105580
-39.12,-139.708,-105582
-39.148,-139.274,-105584
-39.176,-139.047,-105586
-39.203,-138.953,-105588
-39.231,-138.837,-105590
-39.259,-138.708,-105592
-39.287,-138.603,-105594
-39.315,-138.586,-105596
-39.342,-138.632,-105598
-39.37,-138.73,-105600
-39.398,-138.839,-105602
-39.426,-138.92,-105604
-39.453,-138.99,-105606
-39.481,-139.187,-105608
-39.509,-139.391,-105610
-39.537,-139.582,-105612
-39.565,-139.76,-105614
-39.592,-139.932,-105616
-39.62,-140.095,-105618
-39.648,-140.283,-105620
-39.676,-140.358,-105622
-39.703,-140.301,-105624
-39.731,-140.059,-105626
-39.759,-139.658,-105628
-39.787,-139.114,-105630
-39.815,-138.412,-105632
-39.842,-137.506,-105634
-39.87,-136.341,-105636
-39.898,-134.919,-105638
-39.926,-133.2,-105640
-39.953,-131.144,-105642
-39.981,-128.717,-105644
-40.009,-125.814,-105646
-40.037,-122.287,-105648
-40.065,-118.231,-105650
-40.092,-113.573,-105652
-40.12,-108.703,-105654
-40.148,-104.199,-105656
-40.176,-100.948,-105658
-40.203,-99.882,-105660
-40.231,-99.644,-105662
-40.259,-99.694,-105664
-40.287,-99.945,-105666
-40.315,-100.282,-105668
-40.342,-100.75,-105670
-40.37,-101.403,-105672
-40.398,-102.249,-105674
-40.426,-103.23,-105676
-40.453,-104.344,-105678
-40.481,-105.602,-105680
-40.509,-106.994,-105682
-40.537,-108.494,-105684
-40.565,-110.044,-105686
-40.592,-111.615,-105688
-40.62,-113.199,-105690
-40.648,-114.726,-105692
-40.676,-116.178,-105694
-40.703,-117.58,-105696
-40.731,-118.939,-105698
-40.759,-120.266,-105700
-40.787,-121.548,-105702
-40.815,-122.762,-105704
-40.842,-123.913,-105706
-40.87,-125.068,-105708
-40.898,-126.275,-105710
-40.926,-127.534,-105712
-40.953,-128.782,-105714
-40.981,-130.012,-105716
-41.009,-131.256,-105718
-41.037,-132.428,-105720
-41.065,-133.47,-105722
-41.092,-134.405,-105724
-41.12,-135.281,-105726
-41.148,-136.132,-105728
-41.176,-136.893,-105730
-41.203,-137.543,-105732
-41.231,-138.112,-105734
-41.259,-138.777,-105736
-41.287,-139.54,-105738
-41.315,-140.332,-105740
-41.342,-141.108,-105742
-41.37,-141.928,-105744
-41.398,-142.8,-105746
-41.426,-143.553,-105748
-41.453,-144.204,-105750
-41.481,-144.906,-105752
-41.509,-145.742,-105754
-41.537,-146.746,-105756
-41.565,-147.855,-105758
-41.592,-148.922,-105760
-41.62,-149.911,-105762
-41.648,-150.771,-105764
-41.676,-151.497,-105766
-41.703,-152.064,-105768
-41.731,-152.365,-105770
-41.759,-152.487,-105772
-41.787,-152.452,-105774
-41.815,-152.234,-105776
-41.842,-151.824,-105778
-41.87,-151.196,-105780
-41.898,-150.201,-105782
-41.926,-148.926,-105784
-41.953,-147.452,-105786
-41.981,-145.813,-105788
-42.009,-144.003,-105790
-42.037,-142.001,-105792
-42.065,-139.834,-105794
-42.092,-137.552,-105796
-42.12,-135.219,-105798
-42.148,-132.862,-105800
-42.176,-130.506,-105802
-42.203,-128.227,-105804
-42.231,-126.043,-105806
-42.259,-123.918,-105808
-42.287,-121.925,-105810
-42.315,-120.076,-105812
-42.342,-118.292,-105814
-42.37,-116.686,-105816
-42.398,-115.246,-105818
-42.426,-113.945,-105820
-42.453,-112.759,-105822
-42.481,-111.659,-105824
-42.509,-110.634,-105826
-42.537,-109.741,-105828
-42.565,-108.95,-105830
-42.592,-108.239,-105832
-42.62,-107.619,-105834
-42.648,-107.197,-105836
-42.676,-106.877,-105838
-42.703,-106.638,-105840
-42.731,-106.88,-105842
-42.759,-107.203,-105844
-42.787,-107.626,-105846
-42.815,-108.248,-105848
-42.842,-108.96,-105850
-42.87,-109.754,-105852
-42.898,-110.651,-105854
-42.926,-111.682,-105856
-42.953,-112.782,-105858
-42.981,-113.968,-105860
-43.009,-115.278,-105862
-43.037,-116.723,-105864
-43.065,-118.338,-105866
-43.092,-120.136,-105868
-43.12,-122,-105870
-43.148,-124,-105872
-43.176,-126.13,-105874
-43.203,-128.328,-105876
-43.231,-130.63,-105878
-43.259,-133.008,-105880
-43.287,-135.386,-105882
-43.315,-137.743,-105884
-43.342,-140.044,-105886
-43.37,-142.229,-105888
-43.398,-144.242,-105890
-43.426,-146.069,-105892
-43.453,-147.738,-105894
-43.481,-149.237,-105896
-43.509,-150.517,-105898
-43.537,-151.511,-105900
-43.565,-152.151,-105902
-43.592,-152.555,-105904
-43.62,-152.756,-105906
-43.648,-152.788,-105908
-43.676,-152.65,-105910
-43.703,-152.325,-105912
-43.731,-151.754,-105914
-43.759,-151.014,-105916
-43.787,-150.14,-105918
-43.815,-149.122,-105920
-43.842,-148.004,-105922
