y,z,b
440,-140.853,-4
440,-141.12,-6
440,-141.387,-8
440,-141.993,-10
440,-142.6,-12
440,-143.542,-14
440,-144.483,-16
440,-145.725,-18
440,-146.967,-20
440,-148.583,-22
440,-150.2,-24
440,-152.827,-26
440,-155.453,-28
440,-158.72,-30
440,-161.987,-32
440,-166.043,-34
440,-170.1,-36
440,-175.317,-38
440,-180.533,-40
440,-186.385,-42
440,-192.237,-44
440,-196.328,-46
440,-200.42,-48
440,-200.987,-50
440,-201.553,-52
440,-203.135,-54
440,-204.717,-56
440,-206.258,-58
440,-207.8,-60
440,-208.892,-62
440,-209.983,-64
440,-207.7,-66
440,-205.417,-68
440,-202.418,-70
440,-199.42,-72
440,-197.362,-74
440,-195.303,-76
440,-194.71,-78
440,-194.117,-80
440,-193.443,-82
440,-192.77,-84
440,-192.212,-86
440,-191.653,-88
440,-191.695,-90
440,-191.737,-92
440,-192.118,-94
440,-192.5,-96
440,-192.992,-98
440,-193.483,-100
440,-194.275,-102
440,-195.067,-104
440,-195.968,-106
440,-196.87,-108
440,-198.152,-110
440,-199.433,-112
440,-198.835,-114
440,-198.237,-116
440,-196.368,-118
440,-194.5,-120
440,-192.592,-122
440,-190.683,-124
440,-189.225,-126
440,-187.767,-128
440,-186.158,-130
440,-184.55,-132
440,-178.967,-134
440,-173.383,-136
440,-167.31,-138
440,-161.237,-140
440,-156.293,-142
440,-151.35,-144
440,-146.852,-146
440,-142.353,-148
440,-138.645,-150
440,-134.937,-152
440,-131.943,-154
440,-128.95,-156
440,-126.327,-158
440,-123.703,-160
440,-121.685,-162
440,-119.667,-164
440,-117.943,-166
440,-116.22,-168
440,-114.987,-170
440,-113.753,-172
440,-112.595,-174
440,-111.437,-176
440,-110.953,-178
440,-110.47,-180
440,-110.327,-182
440,-110.183,-184
440,-110.375,-186
440,-110.567,-188
440,-111.133,-190
440,-111.7,-192
440,-112.567,-194
440,-113.433,-196
440,-114.675,-198
440,-115.917,-200
440,-117.643,-202
440,-119.37,-204
440,-121.662,-206
440,-123.953,-208
440,-127.37,-210
440,-130.787,-212
440,-134.468,-214
440,-138.15,-216
440,-142.727,-218
440,-147.303,-220
440,-152.52,-222
440,-157.737,-224
440,-162.243,-226
440,-166.75,-228
440,-168.327,-230
440,-169.903,-232
440,-171.26,-234
440,-172.617,-236
440,-174.683,-238
440,-176.75,-240
440,-179.077,-242
440,-181.403,-244
440,-179.835,-246
440,-178.267,-248
440,-176.133,-250
440,-174,-252
440,-171.717,-254
440,-169.433,-256
440,-167.86,-258
440,-166.287,-260
440,-165.803,-262
440,-165.32,-264
440,-165.102,-266
440,-164.883,-268
440,-164.775,-270
440,-164.667,-272
440,-165.083,-274
440,-165.5,-276
440,-166.252,-278
440,-167.003,-280
440,-167.91,-282
440,-168.817,-284
440,-170.133,-286
440,-171.45,-288
440,-173.742,-290
440,-176.033,-292
440,-175.25,-294
440,-174.467,-296
440,-171.168,-298
440,-167.87,-300
440,-165.587,-302
440,-163.303,-304
440,-161.06,-306
440,-158.817,-308
440,-157.358,-310
440,-155.9,-312
440,-149.942,-314
440,-143.983,-316
440,-137.575,-318
440,-131.167,-320
440,-125.768,-322
440,-120.37,-324
440,-115.762,-326
440,-112.058,-328
440,-109.724,-330
440,-107.573,-332
440,-105.649,-334
440,-103.951,-336
440,-102.46,-338
440,-101.112,-340
440,-99.874,-342
440,-98.838,-344
440,-97.946,-346
440,-97.145,-348
440,-96.474,-350
440,-95.932,-352
440,-95.51,-354
440,-95.227,-356
440,-95.07,-358
440,-95.016,-360
440,-95.067,-362
440,-95.233,-364
440,-95.536,-366
440,-95.955,-368
440,-96.483,-370
440,-97.111,-372
440,-97.893,-374
440,-98.823,-376
440,-99.891,-378
440,-101.12,-380
440,-102.484,-382
440,-103.97,-384
440,-105.705,-386
440,-107.6,-388
440,-109.649,-390
440,-111.973,-392
440,-114.582,-394
440,-117.466,-396
440,-120.594,-398
440,-124.129,-400
440,-127.613,-402
440,-132.237,-404
440,-136.328,-406
440,-140.42,-408
440,-140.987,-410
440,-141.553,-412
440,-143.135,-414
440,-144.717,-416
440,-146.258,-418
440,-147.8,-420
440,-148.892,-422
440,-149.983,-424
440,-147.7,-426
440,-145.417,-428
440,-142.418,-430
440,-139.42,-432
440,-137.362,-434
440,-135.303,-436
440,-134.71,-438
440,-134.117,-440
440,-133.443,-442
440,-132.77,-444
440,-132.212,-446
440,-131.653,-448
440,-131.695,-450
440,-131.737,-452
440,-132.118,-454
440,-132.5,-456
440,-132.992,-458
440,-133.483,-460
440,-134.275,-462
440,-135.067,-464
440,-135.968,-466
440,-136.87,-468
440,-138.152,-470
440,-139.433,-472
440,-138.835,-474
440,-138.237,-476
440,-136.368,-478
440,-134.5,-480
440,-132.592,-482
440,-130.683,-484
440,-129.225,-486
440,-128.428,-488
440,-131.039,-490
440,-132.9,-492
440,-132.829,-494
440,-130.643,-496
440,-127.616,-498
440,-124.131,-500
440,-120.593,-502
440,-117.466,-504
440,-114.582,-506
440,-111.976,-508
440,-109.66,-510
440,-107.604,-512
440,-105.706,-514
440,-103.973,-516
440,-102.493,-518
440,-101.133,-520
440,-99.904,-522
440,-98.832,-524
440,-97.898,-526
440,-97.115,-528
440,-96.485,-530
440,-95.956,-532
440,-95.533,-534
440,-95.222,-536
440,-95.063,-538
440,-95.02,-540
440,-95.078,-542
440,-95.225,-544
440,-95.5,-546
440,-95.919,-548
440,-96.462,-550
440,-97.134,-552
440,-97.938,-554
440,-98.831,-556
440,-99.869,-558
440,-101.11,-560
440,-102.46,-562
440,-103.953,-564
440,-105.65,-566
440,-107.573,-568
440,-109.724,-570
440,-112.058,-572
440,-114.641,-574
440,-117.528,-576
440,-120.188,-578
440,-122.429,-580
440,-124.037,-582
440,-123.783,-584
440,-121.735,-586
440,-118.992,-588
440,-115.838,-590
440,-112.521,-592
440,-111.26,-594
440,-112.616,-596
440,-114.683,-598
440,-116.75,-600
440,-119.41,-602
440,-122.07,-604
440,-120.835,-606
